"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-02","0.00",",,W,2400","0.0",",,W",,,"67",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-03","0.00",",,W,2400","0.0",",,W",,,"62",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-04","0.00",",,W,2400","0.0",",,W",,,"71",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-05","0.00",",,W,2400","0.0",",,W",,,"70",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-06","0.00",",,W,2400","0.0",",,W",,,"66",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-07","0.00",",,W,2400","0.0",",,W",,,"67",",,W","52",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-08","0.00",",,W,2400","0.0",",,W",,,"69",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-09","0.00",",,W,2400","0.0",",,W",,,"72",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-10","0.00",",,W,2400","0.0",",,W",,,"68",",,W","52",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-11","0.00",",,W,2400","0.0",",,W",,,"71",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-12","0.00",",,W,2400","0.0",",,W",,,"71",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-13","0.00",",,W,2400","0.0",",,W",,,"61",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-14","0.00",",,W,2400","0.0",",,W",,,"67",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-15","0.00",",,W,2400","0.0",",,W",,,"66",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-16","0.00",",,W,2400","0.0",",,W",,,"64",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-17","0.00",",,W,2400","0.0",",,W",,,"66",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-18","0.00",",,W,2400","0.0",",,W",,,"67",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-19","0.00",",,W,2400","0.0",",,W",,,"65",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-20","0.00",",,W,2400","0.0",",,W",,,"61",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-21","0.00",",,W,2400","0.0",",,W",,,"64",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-22","0.03",",,W,2400","0.0",",,W",,,"69",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-23","0.00",",,W,2400","0.0",",,W",,,"66",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-24","0.00",",,W,2400","0.0",",,W",,,"61",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-25","0.00",",,W,2400","0.0",",,W",,,"68",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-26","0.00",",,W,2400","0.0",",,W",,,"65",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-27","0.00",",,W,2400","0.0",",,W",,,"64",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-28","0.00",",,W,2400","0.0",",,W",,,"62",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-29","0.00",",,W,2400","0.0",",,W",,,"62",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-30","0.00",",,W,2400","0.0",",,W",,,"63",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-07-31","0.00",",,W,2400","0.0",",,W",,,"64",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-01","0.00",",,W,2400","0.0",",,W",,,"65",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-02","0.00",",,W,2400","0.0",",,W",,,"65",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-03","0.00",",,W,2400","0.0",",,W",,,"73",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-04","0.00",",,W,2400","0.0",",,W",,,"63",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-05","0.00",",,W,2400","0.0",",,W",,,"63",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-06","0.00",",,W,2400","0.0",",,W",,,"70",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-07","0.00",",,W,2400","0.0",",,W",,,"67",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-08","0.00",",,W,2400","0.0",",,W",,,"68",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-09","0.00",",,W,2400","0.0",",,W",,,"65",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-10","0.00",",,W,2400","0.0",",,W",,,"64",",,W","56",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-11","0.00",",,W,2400","0.0",",,W",,,"67",",,W","58",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-12","0.00",",,W,2400","0.0",",,W",,,"64",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-13","0.00",",,W,2400","0.0",",,W",,,"83",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-14","0.00",",,W,2400","0.0",",,W",,,"95",",O,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-15","0.00",",,W,2400","0.0",",,W",,,"86",",,W","64",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-16","0.01",",,W,2400","0.0",",,W",,,"81",",,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-17","0.00",",,W,2400","0.0",",,W",,,"81",",,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-18","0.00",",,W,2400","0.0",",,W",,,"77",",,W","61",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-19","0.00",",,W,2400","0.0",",,W",,,"77",",,W","60",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-20","0.00",",,W,2400","0.0",",,W",,,"72",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-21","0.00",",,W,2400","0.0",",,W",,,"75",",,W","58",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-22","0.00",",,W,2400","0.0",",,W",,,"74",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-23","0.00",",,W,2400","0.0",",,W",,,"68",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-24","0.00",",,W,2400","0.0",",,W",,,"68",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-25","0.00",",,W,2400","0.0",",,W",,,"67",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-26","0.00",",,W,2400","0.0",",,W",,,"59",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-27","0.00",",,W,2400","0.0",",,W",,,"64",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-28","0.00",",,W,2400","0.0",",,W",,,"62",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-08-29","0.00",",,W,2400","0.0",",,W",,,"63",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-01","0.00",",,H,2400",,,,,"65",",,H","56",",,H","59",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-02","0.00",",,H,2400",,,,,"66",",,H","58",",,H","59",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-03","0.00",",,H,2400",,,,,"64",",,H","56",",,H","57",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-04","0.00",",,H,2400",,,,,"69",",,H","55",",,H","59",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-05","0.00",",,H,2400",,,,,"89",",,H","58",",,H","74",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-06","0.00",",,H,2400",,,,,"100",",,H","71",",,H","77",",,H,2400"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-07","0.00",",,W,2400","0.0",",,W",,,"91",",,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-08","0.00",",,W,2400","0.0",",,W",,,"71",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-09","0.00",",,W,2400","0.0",",,W",,,"60",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-10","0.00",",,W,2400","0.0",",,W",,,"64",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-11","0.00",",,W,2400","0.0",",,W",,,"71",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-12","0.00",",,W,2400","0.0",",,W",,,"72",",,W","54",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-13","0.00",",,W,2400","0.0",",,W",,,"62",",,W","55",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-14","0.00",",,W,2400","0.0",",,W",,,"64",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-15","0.00",",,W,2400","0.0",",,W",,,"69",",,W","58",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-16","0.00",",,W,2400","0.0",",,W",,,"74",",,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-17","0.00",",,W,2400","0.0",",,W",,,"67",",,W","59",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-18","0.00",",,W,2400","0.0",",,W",,,"68",",,W","60",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-19","0.00",",,W,2400","0.0",",,W",,,"73",",,W","60",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-20","0.00",",,W,2400","0.0",",,W",,,"78",",,W","59",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-21","0.00",",,W,2400","0.0",",,W",,,"71",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-22","0.00",",,W,2400","0.0",",,W",,,"67",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-23","0.00",",,W,2400","0.0",",,W",,,"71",",,W","57",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-24","0.00",",,W,2400","0.0",",,W",,,"71",",,W","59",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-25","0.00",",,W,2400","0.0",",,W",,,"69",",,W","58",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-26","0.00",",,W,2400","0.0",",,W",,,"74",",,W","59",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-27","0.00",",,W,2400","0.0",",,W",,,"89",",,W","62",",,W",,
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","2020-09-28","0.00",",,W,2400","0.0",",,W",,,"94",",,W","58",",,W",,
